marker,article,previous,current,next,link
(2008),W13-0804,It is basically an adaptation of one of the k-best parsing algorithms by Huang and Chiang (2005).,Good descriptions of the cube pruning implementation in the Joshua decoder have been provided by Li and Khudanpur (2008) and Li et al (2009b).,Xu and Koehn (2012) implemented hierarchical search with the cube growing algorithm in Moses and compared its performance to Moses' cube pruning implementation.,http://www.aclweb.org/anthology/W/W13/W13-0804.pdf
"(Och, 2003)",W13-0804,"The language models are 4-grams with modified Kneser-Ney smoothing (Kneser and Ney, 1995; Chen and Goodman, 1998) which have been trained with the SRILM toolkit (Stolcke, 2002).","During decoding, a maximum length constraint of ten is applied to all non-terminals except the initial symbol S. Model weights are optimized with MERT (Och, 2003) on 100-best lists.",The optimized weights are obtained (separately for deep and for shallow-1 grammars) with a k-best generation size of 1000 for Chinese-*English and of 500 for Arabic-*English and kept for all setups.,http://www.aclweb.org/anthology/W/W13/W13-0804.pdf
(1967),W00-1220,"In resent years, Western researchers have published a large volume of papers, which present many points of view.","The most important are Vendler(1967), Bache(1982), and Smith (1985) .","They approximately classify the situation as four types: state, activity, accomplishment, and achievement.",http://www.aclweb.org/anthology/W/W00/W00-1220.pdf
[3],W00-1220,(2) Separate classification of the verb situation from classification of the sentence situation.,"Chen[3] points that some verbs belong to more than one category, and gives a method to distinguish these cases.","To make the ideal more clear, we use two steps to complete the sentence situation recognition.",http://www.aclweb.org/anthology/W/W00/W00-1220.pdf
[11],W00-1220,2.3 Implementation of the algorithm,"According to table 2.1, a classification algorithm was designed, and we use two resources to implement our algorithm: The Contemporary Chinese Cihai [11] (which we will refer to as the Cihai below) dictionary and the Machine Tractable Dictionary of Contemporary Chinese Predicate Verbs [12}(which we will refer to as the predicate dictionary below).","The Cihai dictionary includes 12,000 entries and 700,000 collocation instances, predicate dictionary includes about 3000 verbs with their semantic information, case relations and detailed collocation information.",http://www.aclweb.org/anthology/W/W00/W00-1220.pdf
(2010),S15-2120,2010).,Davidov et al (2010) examined hashtags that indicated sarcasm to identify if such labelled tweets can be a reliable source of sarcasm.,They concluded that user-labelled sarcastic tweets can be noisy and constitute the hardest form of sarcasm.,http://www.aclweb.org/anthology/S/S15/S15-2120.pdf
(2013),S15-2120,They concluded that user-labelled sarcastic tweets can be noisy and constitute the hardest form of sarcasm.,Riloff et al (2013) identify sarcasm that arises from the contrast between a positive sentiment referring to a negative situation.,"Reyes et al (2012) involved in their work features that make use of contextual imbalance, natural language concepts, syntactical and morphological aspects of a tweet.",http://www.aclweb.org/anthology/S/S15/S15-2120.pdf
"(He et al., 2010a)",N13-3003,The confidence metric ensures that only Author did this work during his post doctoral research at CNGL.,"those MT outputs that are guaranteed to require less post-editing effort than the best corresponding TM match are presented to the post-editor (He et al., 2010a).","The MT is integrated seamlessly, and established localisation cost estimation models based on TM technologies still apply as upper bounds.",http://www.aclweb.org/anthology/N/N13/N13-3003.pdf
"(Specia, 2011)",N13-3003,"MT confidence estimation and its relation to existing TM scoring methods, together with how to make the most effective use of both technologies, is an active area of research.","(Specia, 2011) and (Specia et al., 2009, 2010) propose a confidence estimator that relates specifically to the post-editing effort of translators.","This research uses regression on both the automatic scores assigned to the MT and scores assigned by posteditors and aims to model post-editors' judgements of the translation quality between good and bad, or among three levels of post-editing effort.",http://www.aclweb.org/anthology/N/N13/N13-3003.pdf
"(Koehn and Haddow, 2009)",N13-3003,"Related research by (Simard and Isabelle., 2009) focuses on combining TM information into an SMT system for improving the performance of the MT when a close match already exists within the TM.","(Koehn and Haddow, 2009) presents a post-editing environment using information from the phrasebased SMT system Moses.2 (Guerberof, 2009) compares the post-editing effort required for TM and MT output, respectively.","(Tatsumi, 2009) studies the correlation between automatic evaluation scores and post-editing effort.",http://www.aclweb.org/anthology/N/N13/N13-3003.pdf
"(Lin et al., 2007)",N13-3003,"System-independent features for each translation output are fed as input to the SVM classifier (Cortes and Vapnik, 1995).","The SVM classifier outputs class labels and the class labels are converted into confidence scores using the techniques given in (Lin et al., 2007).",Relying on system independent black-box features has allowed us to build,http://www.aclweb.org/anthology/N/N13/N13-3003.pdf
"(Germann, 2003)",D10-1091,Translating a sentence amounts to finding the best scoring translation hypothesis in the search space.,"Because of the combinatorial nature of this problem, translation has to rely on heuristic search techniques such as greedy hill-climbing (Germann, 2003) or variants of best-first search like multi-stack decoding (Koehn, 2004).","Moreover, to reduce the overall complexity of decoding, the search space is typically pruned using simple heuristics.",http://www.aclweb.org/anthology/D/D10/D10-1091.pdf
"(Dreyer et al., 2007",D10-1091,1.3 Contribution and organization,"To systematically assess the impact of the multiple heuristic decisions made during training and decoding, we propose, following (Dreyer et al., 2007; Auli et al., 2009), to work out oracle scores, that is to evaluate the best achievable performances of a PBTS.",We aim at both studying the expressive power of PBTS and at providing tools for identifying and quantifying causes of failure.,http://www.aclweb.org/anthology/D/D10/D10-1091.pdf
"Koehn, 2007)",D10-1091,934,"Koehn, 2007) or combining machine translation systems in a multi-source setting (Li and Khudanpur, 2009).",We have also used oracle decoding to identify erroneous or difficult to translate references (Section 3.3).,http://www.aclweb.org/anthology/D/D10/D10-1091.pdf
"(Banerjee and Lavie, 2005)",D10-1091,"This amounts to evaluating translation quality in terms of unigram precision and recall, which are highly correlated with human judgements (Lavie et al., ).","This measure is closely related to the BLEU-1 evaluation metric and the Meteor (Banerjee and Lavie, 2005) metric (when it is evaluated without considering near-matches and the distortion penalty).",We also believe that hypotheses that maximize the unigram precision and recall at the sentence level yield corpus level BLEU-4 scores close the maximal achievable.,http://www.aclweb.org/anthology/D/D10/D10-1091.pdf
"(Germann et al., 2001)",D10-1091,"To solve the combinatorial problem introduced in the previous section, we propose to cast it into an Integer Linear Programming (ILP) problem, for which many generic solvers exist.","ILP has already been used in SMT to find the optimal translation for word-based (Germann et al., 2001) and to study the complexity of learning phrase alignments (De Nero and Klein, 2008) models.","Following the latter reference, we introduce the following variables: fi,j (resp.",http://www.aclweb.org/anthology/D/D10/D10-1091.pdf
"(Kumar and Byrne, 2005)",D10-1091,"l < m  1, ai,j,k,lai0,j0,l+1,l0  |i0  j  1 |< d","Implementing the ""local"" or MJ-d (Kumar and Byrne, 2005) reordering strategy is also straightforward, and implies using the following constraints:","Xai0,j0,k0,l0  k0k",http://www.aclweb.org/anthology/D/D10/D10-1091.pdf
"(Dreyer et al., 2007)",D10-1091,"This is the main motivation of (Tillmann and Zhang, 2006), where the authors compute high BLEU hypotheses by running a conventional decoder so as to maximize a per-sentence approximation of BLEU-4, under a simple (local) reordering model.","Oracle decoding has also been used to assess the limitations induced by various reordering constraints in (Dreyer et al., 2007).","To this end, the authors propose to use a beam-search based oracle decoder, which computes lower bounds of the best achievable BLEU-4 using dynamic programming techniques over finite-state (for so-called local and IBM constraints) or hierarchically structured (for ITG constraints) sets of hypotheses.",http://www.aclweb.org/anthology/D/D10/D10-1091.pdf
"(Auli et al., 2009)",D10-1091,"To the best of our knowledge, there are only a few works that try to study the expressive power of phrase-based machine translation systems or to provide tools for analyzing potential causes of failure.","The approach described in (Auli et al., 2009) is very similar to ours: in this study, the authors propose to find and analyze the limits of machine translation systems by studying the reference reachability.",A reference is reachable for a given system if it can be exactly generated by this system.,http://www.aclweb.org/anthology/D/D10/D10-1091.pdf
"(Achterberg, 2007)",D10-1091,"Even though ILP problems are NP-hard in general, there exist several off-theshelf ILP solvers able to efficiently find an optimal solution or decide that the problem is infeasible.","In our experiments, we used the free solver SCIP (Achterberg, 2007).",An optimal solution was found for all problems we considered.,http://www.aclweb.org/anthology/D/D10/D10-1091.pdf
(2008),D13-1151,"Subsequent work, such as the StahelDonoho Estimator (Stahel, 1981; Donoho, 1982), PCout (Filzmoser et al., 2008), LOF (Breunig and Kriegel, 2000) and ABOD (Kriegel et al., 2008) have generalized univariate methods to highdimensional data points.","In his comprehensive review of outlier detection methods in textual data, Guthrie (2008) compares a variety of vectorization methods along with a variety of generic outlier methods.","The vectorization methods employ a variety of lexical and syntactic stylistic features, while the outlier detection methods use a variety of similarity/distance measures such as cosine and Euclidean distance.",http://www.aclweb.org/anthology/D/D13/D13-1151.pdf
"(Stamatatos, 2009",D13-1151,"The vectorization methods employ a variety of lexical and syntactic stylistic features, while the outlier detection methods use a variety of similarity/distance measures such as cosine and Euclidean distance.","Similar methods have also been used in the field of intrinsic plagiarism detection, which involves segmenting a text and then identifying outlier segments (Stamatatos, 2009; Stein et al., 2010).",3 Proximity Methods,http://www.aclweb.org/anthology/D/D13/D13-1151.pdf
(1992),N07-1039,"Each document in each corpus was preprocessed into individual sentences, lower-cased, and tokenized.","We used an implementation of Brill's (1992) part-of-speech tagger to find adjectives and modifiers; for parsing, we used the Stanford dependency parser (Klein and Manning, 2003).",6 Evaluating Extraction,http://www.aclweb.org/anthology/N/N07/N07-1039.pdf
"(Turney, 2002",N07-1039,"sions, such as where an attitude is expressed via a noun or a verb.","In this regard, we will be examining extension of existing methods for automatically building lexicons of positive/negative words (Turney, 2002; Esuli and Sebastiani, 2005) to the more complex task of estimating also attitude type and force.",,http://www.aclweb.org/anthology/N/N07/N07-1039.pdf
(1995),N07-1039,"We generally look for rules that contain attitude type, orientation, thing type, and a product name, when these rules occur more frequently than expected.",The idea is similar to Agrawal and Srikant's (1995) notion of generalized association rules.,"We treat each appraisal expression as a transaction, with the attributes of attitude type, orientation, polarity, force, and thing type, as well as the document attributes product name, product type, and document classification (based on the number of stars the reviewer gave the product).",http://www.aclweb.org/anthology/N/N07/N07-1039.pdf
"(Whitelaw et al., 2005)",N07-1039,311,"For adjectival attitudes, we used the lexicon developed we developed in our previous work (Whitelaw et al., 2005) on appraisal.",We reviewed the entire lexicon to determine its accuracy and made numerous improvements.,http://www.aclweb.org/anthology/N/N07/N07-1039.pdf
"(Wang et al., 2003)",N07-1039,"We treat each appraisal expression as a transaction, with the attributes of attitude type, orientation, polarity, force, and thing type, as well as the document attributes product name, product type, and document classification (based on the number of stars the reviewer gave the product).","We use CLOSET+ (Wang et al., 2003) to find all of the frequent closed itemsets in the data, with a support greater than or equal to 20 occurrences.","Let (b, a1, a2,... an) or (b, A) denote the contents of an itemset, and c ((b, A)) denote the support for this itemset.",http://www.aclweb.org/anthology/N/N07/N07-1039.pdf
"(Carroll et al., 1998",W12-2202,"The present work, however, deals with lexical simplification and is centred around a corpus analysis, a preparatory stage for the development of a separate lexical module in the future.","Earlier work already establishes the importance of lexical changes for text simplification (Carroll et al., 1998; Caseli et al., 2009; De Belder et al., 2010).","Upon examining a parallel corpus consisting of original and manually simplified newspaper articles in Spanish, we have found that by far the most common type of changes applied by human editors are precisely lexical changes, accounting for 17.48% of all annotated operations (Bott and Saggion, 2012a).",http://www.aclweb.org/anthology/W/W12/W12-2202.pdf
"(Bott and Saggion, 2012a)",W12-2202,"Earlier work already establishes the importance of lexical changes for text simplification (Carroll et al., 1998; Caseli et al., 2009; De Belder et al., 2010).","Upon examining a parallel corpus consisting of original and manually simplified newspaper articles in Spanish, we have found that by far the most common type of changes applied by human editors are precisely lexical changes, accounting for 17.48% of all annotated operations (Bott and Saggion, 2012a).",Words perceived as more complicated are replaced,http://www.aclweb.org/anthology/W/W12/W12-2202.pdf
"(Carroll et al., 1998)",W12-2202,"The earliest simplification systems employed a rule-based approach and focused on syntactic structure of the text (Chandrasekar et al., 1996).","The PSET project (Carroll et al., 1998) dealt with simplification of news articles in English for aphasic readers.","Together with syntactic analysis and transformations similar to those of Chandrasekar et al (1996), they employed lexical simplification based on looking up synonyms in WordNet and extracting Kucera-Francis frequency from the Oxford Psycholinguistic Database (Quinlan, 1992).",http://www.aclweb.org/anthology/W/W12/W12-2202.pdf
(2009),W12-2202,"The above approach to lexical simplification has been repeated in a number of works (Lal and Ruger, 2002; Burstein et al., 2007).","Bautista et al (2009) also rely on a dictionary of synonyms, but their criterion for choosing the most appropriate one is wordlength rather than frequency.","Caseli et al (2009) analyse lexical operations on a parallel corpus of original and manually simplified texts in Portuguese, using lists of simple words and discourse markers as resources.",http://www.aclweb.org/anthology/W/W12/W12-2202.pdf
"(Cunningham et al., 2002)",W12-2202,"aligning algorithm based on Hidden Markov Models (Bott and Saggion, 2011) has been applied to obtain sentence-level alignments.","The automatic alignments have then been manually corrected through a graphical editing tool within the GATE framework (Cunningham et al., 2002).","A total of 570 sentences have been aligned (246 in original and 324 in simple texts), with the following correlations between them: one to one, one to many or many to one, as well as cases where there is no correlation (cases of content reduction through summarisation or information expansion through the introduction of definitions).",http://www.aclweb.org/anthology/W/W12/W12-2202.pdf
(1996),W12-2202,"The PSET project (Carroll et al., 1998) dealt with simplification of news articles in English for aphasic readers.","Together with syntactic analysis and transformations similar to those of Chandrasekar et al (1996), they employed lexical simplification based on looking up synonyms in WordNet and extracting Kucera-Francis frequency from the Oxford Psycholinguistic Database (Quinlan, 1992).","Therefore, the most frequent of a set of synonyms for every content word of the input text was chosen to appear in its simplified version.",http://www.aclweb.org/anthology/W/W12/W12-2202.pdf
"(Hajic et al., 2004",W06-2938,This paper presents an approach to supervised learning of dependency relations in a language using standard machine learning techniques.,"The treebanks (Hajic et al., 2004; Chen et al., 2003; Bohmova et al., 2003; Kromann, 2003; van der Beek et al., 2002; Brants et al., 2002; Kawata and Bartels, 2000; Afonso et al., 2002; Dzeroski et al., 2006; Civit Torruella and MartiAntonin, 2002; Nilsson et al., 2005; Oflazer et al., 2003; Atalay et al., 2003) provided for the CoNLL shared task(Buchholz et al., 2006) were converted to a set of instances each of which consists of the attributes of a candidate word pair with a classification that indicates the existence, direction and type of the dependency link between the pair.",An initial model is built to identify dependency relations between adjacent word pairs using a decision list learning algorithm.,http://www.aclweb.org/anthology/W/W06/W06-2938.pdf
"(Bangalore et al., 2000)",P00-1059,"This number is subtracted from and then divided by the length of the sentence, yielding a number between 0 and 1, with 1 the best score.","For a more detailed discussion of the issue of metrics in evaluation, of the metrics we have used, and of an experiment relating human judgments to these metrics, see (Bangalore et al., 2000).",String accuracy measures the performance of the entire FERGUS system.,http://www.aclweb.org/anthology/P/P00/P00-1059.pdf
"(Hamaker et al., 1998)",W00-1004,An alternative approach is seen in some schemes used for labeling corpora for purposes of training and evaluating speech recognizers.,"A quote from the most recent Switchboard labeling standard (Hamaker et al., 1998) gives the flavor: 20.","Hesitation Sounds: Use ""uh"" or ""oh"" for hesitations consisting of a vowel sound, and ""urn"" or ""hm"" for hesitations with a nasal sound, depending upon which transcription the actual sound is closest to.",http://www.aclweb.org/anthology/W/W00/W00-1004.pdf
"(Lander, 1996)",W00-1004,"<other speaker responds> urn ok, I see your point.""","21: yes/no sounds: Use ""uh-huh"" or ""um-hum"" (yes) and ""huh-uh"" or ""hum-um"" (no) for anything remotely resembling these sounds of assent or denial"" Another scheme (Lander, 1996) lists several ""miscellaneous words"", including:",30,http://www.aclweb.org/anthology/W/W00/W00-1004.pdf
"(Barry and Fourcin, 1992)",W00-1004,"2. can represent all observed grunts, and 3. unambiguously represents all meaningful differences in sound.","While it is not possible to devise a single transcription scheme which is perfect for all purposes (Barry and Fourcin, 1992), it is clear that the current schemes all have room for improvement.",3 Proposal,http://www.aclweb.org/anthology/W/W00/W00-1004.pdf
(2012),D13-1021,We introduce a noise symbol to handle partial noise in the many-to-many alignment model.,"Htun et al (2012) extended the many-to-many alignment for the sample-wise transliteration mining, but its noise model only handles the sample-wise noise and cannot distinguish partial noise.",We model partial noise in the CRP-based joint substring model.,http://www.aclweb.org/anthology/D/D13/D13-1021.pdf
"(Finch and Sumita, 2010)",D13-1021,"BASELINE 104,563 899,080 1,372,993 PROPOSED 104,561 893,366 1,317,256","phrases in statistical machine transliteration and improved transliteration performance (Finch and Sumita, 2010).","We extracted them by: 1) generate many-to-many word alignment, in which all possible word alignment links in many-to-many correspondences (e.g., 0-0 0-1 0-2 1-0 1-1 1-2 for  , c o m), 2) run phrase extraction and scoring same as a standard Moses training.",http://www.aclweb.org/anthology/D/D13/D13-1021.pdf
"(Brown et al., 1994)",P06-2061,1 Introduction,"A desired feature of computer-assisted translation (CAT) systems is the integration of the human speech into the system, as skilled human translators are faster at dictating than typing the translations (Brown et al., 1994).","Additionally, incorporation of a statistical prediction engine, i.e.",http://www.aclweb.org/anthology/P/P06/P06-2061.pdf
"(Foster et al., 1997",P06-2061,"a statistical interactive machine translation system, to the CAT system is another useful feature.","A statistical prediction engine provides the completions to what a human translator types (Foster et al., 1997; Och et al., 2003).","Then, one possible procedure for skilled human translators is to provide the oral translation of a given source text and then to post-edit the recognized text.",http://www.aclweb.org/anthology/P/P06/P06-2061.pdf
"(Och et al., 2003)",P06-2061,"Then, one possible procedure for skilled human translators is to provide the oral translation of a given source text and then to post-edit the recognized text.","In the post-editing step, a prediction engine helps to decrease the amount of human interaction (Och et al., 2003).","In a CAT system with integrated speech, two sources of information are available to recognize the speech input: the target language speech and the given source language text.",http://www.aclweb.org/anthology/P/P06/P06-2061.pdf
"(Och et al., 2003)",P06-2061,"Thus, the integration of MT models to ASR word graphs can be considered as an N-best rescoring but with very large value for N. Another advantage of working with ASR word graphs is the capability to pass on the word graphs for further processing.","For instance, the resulting word graph can be used in the prediction engine of a CAT system (Och et al., 2003).","The remaining part is structured as follows: in Section 2, a general model for an automatic text dictation system in the computer-assisted translation framework will be described.",http://www.aclweb.org/anthology/P/P06/P06-2061.pdf
"(Vogel et al., 1996)",P06-2061,"better MT system, and generating a larger N-best list from the ASR word graphs.","We rescore the ASR N-best lists with the standard HMM (Vogel et al., 1996) and IBM (Brown et al., 1993) MT models.","The development and evaluation sets Nbest lists sizes are sufficiently large to achieve almost the best possible results, on average 1738 hypotheses per each source sentence are extracted from the ASR word graphs.",http://www.aclweb.org/anthology/P/P06/P06-2061.pdf
"(Khadivi et al., 2005)",P06-2061,4.2 N-best Rescoring,"To rescore the N-best lists, we use the method of (Khadivi et al., 2005).","But the results shown here are different from that work due to a better optimization of the overall ASR system, using a",http://www.aclweb.org/anthology/P/P06/P06-2061.pdf
"(Kanthak et al., 2005)",P06-2061,"a sequence of nodes with one incoming arc and one outgoing arc, the words of source language text are placed consecutively in the arcs of the acceptor, 2. an acceptor containing possible permutations.","To limit the permutations, we used an approach as in (Kanthak et al., 2005).",Each of these two acceptors results in different constraints for the generation of the hypotheses.,http://www.aclweb.org/anthology/P/P06/P06-2061.pdf
(2013),W13-2241,"In the future, we plan to further investigate these models by devising more advanced kernels and feature selection methods.","Specifically, we want to employ our feature set in a multi-task kernel setting, similar to the one proposed by Cohn and Specia (2013).","These kernels have the power to model inter-annotator variance and noise, which can lead to better results in the prediction of post-editing time.",http://www.aclweb.org/anthology/W/W13/W13-2241.pdf
"(Shah et al., 2013)",W13-2241,"For task 1.1, we performed this feature selection over all 160 features mentioned in Section 2.","For task 1.3, we used a subset of the 80 most general BB features as in (Shah et al., 2013), for which we had all the necessary resources available for the extraction.","We selected the top 25 features for both models, based on empirical results found by Shah et al (2013) for a number of datasets, and then retrained the GP using only the selected features.",http://www.aclweb.org/anthology/W/W13/W13-2241.pdf
"(Settles and Craven, 2008)",W13-2241,"We optimised the Gaussian Process hyperparameters every 20 new instances, for both tasks.","As a measure of informativeness we used Information Density (ID) (Settles and Craven, 2008).",This measure leverages between the variance among instances and how dense the region (in the feature space) where the instance is located is:,http://www.aclweb.org/anthology/W/W13/W13-2241.pdf
(2008),W13-2241,"In a real annotation setting, it is important to decide when to stop adding new instances to the training set.","In this work, we used the confidence method proposed by Vlachos (2008).",This is an method that measures the model's confidence on a held-out non-annotated dataset every time a new instance is added to the training set and stops the AL procedure when this confidence starts to drop.,http://www.aclweb.org/anthology/W/W13/W13-2241.pdf
"(Cohn and Specia, 2013",W13-2241,The kernel function encodes the covariance (similarity) between each input pair.,"While a variety of kernel functions are available, here we followed previous work on QE using GP (Cohn and Specia, 2013; Shah et al., 2013) and employed a squared exponential (SE) kernel with automatic relevance determination (ARD): where F is the number of features, 2f is the covariance magnitude and li > 0 are the feature length scales.","The resulting model hyperparameters (SE variance 2f, noise variance 2n and SE length scales li) were learned from data by maximising the model likelihood.",http://www.aclweb.org/anthology/W/W13/W13-2241.pdf
(2013),W13-2241,"To avoid poor hyperparameter values due to this, we performed a two-step procedure where we first optimise a model with all the SE length scales tied to the same value (which is equivalent to an isotropic model) and we used the resulting values as starting point for the ARD optimisation.","To perform feature selection, we followed the approach used in Shah et al (2013) and ranked the features according to their learned length scales (from the lowest to the highest).",The length scales of a feature can be interpreted as the relevance of such feature for the model.,http://www.aclweb.org/anthology/W/W13/W13-2241.pdf
(2000),N04-4019,Fig.,1 shows a sample Speech Graffiti dialog User interactions with Speech Graffiti (independent of other speech interfaces) have previously been assessed in Rosenfeld et al (2000).,"Here we consider a head-to-head comparison: given the chance to interact with both types of interfaces, which would people choose?",http://www.aclweb.org/anthology/N/N04/N04-4019.pdf
"Guindon & Shuldberg, 1987",N04-4019,Several studies have previously found that users are able to interact successfully using constrained or subset languages (e.g.,"Guindon & Shuldberg, 1987; Ringle & Halstead-Nussloch, 1989; Sidner & Forlines, 2002).","As far as we know, no studies have been done comparing constrained, ""universal"" languages and natural language interfaces directly as we have done in this study.",http://www.aclweb.org/anthology/N/N04/N04-4019.pdf
(2001),N04-4019,"As far as we know, no studies have been done comparing constrained, ""universal"" languages and natural language interfaces directly as we have done in this study.",General information about the Speech Graffiti project and its motivation can be found in Rosenfeld et al (2001).,2 Method,http://www.aclweb.org/anthology/N/N04/N04-4019.pdf
(2011),W15-4923,"Conceptually, this is loosely related to semantically focused metrics (e.g.","MEANT, Lo and Wu (2011)), as we go beyond a ""flat"" n-gram matching but evaluate a meaningful entity, in our case a preposition-noun-verb triple.",3 Methodology,http://www.aclweb.org/anthology/W/W15/W15-4923.pdf
(2009),W15-4923,Weller et al (2014) use noun class information as tree labels in syntactic SMT to model selectional preferences of prepositions.,"The presented work is similar to that of Agirre et al (2009), but is applied to a fully statistical MT system.","The main difference is that Agirre et al (2009) use linguistic information to select appropriate translation rules, whereas we generate prepositions in a post-processing step.",http://www.aclweb.org/anthology/W/W15/W15-4923.pdf
(2008),W15-4923,3 Methodology,"Our approach is integrated into an English-German morphology-aware SMT system which first translates into a lemmatized representation with a component to generate fully inflected forms in a second step, an approach similar to the work by Toutanova et al (2008) and Fraser et al (2012).","The inflection requires the modeling of the grammatical case of noun phrases (among other features), which corresponds to determining the syntactic function1.",http://www.aclweb.org/anthology/W/W15/W15-4923.pdf
"(Milne et al., 2007)",W14-3611,Synonyms from WordNet are used to expand the question in order to extract the most semantically relevant passages to the question.,"(Milne et al., 2007) proposed a system called ""KORU"" for query expansion using Wikipedia's most relevant articles to user's query.",The system allows the user to refine the set of Wikipedia pages to be used for expansion.,http://www.aclweb.org/anthology/W/W14/W14-3611.pdf
"(Weston et al., 2011",P15-1061,We use stochastic gradient descent (SGD) to minimize the loss function with respect to .,"Like some other ranking approaches that only update two classes/examples at every training round (Weston et al., 2011; Gao et al., 2014), we can efficiently train the network for tasks which have a very large number of classes.",This is an advantage over softmax classifiers.,http://www.aclweb.org/anthology/P/P15/P15-1061.pdf
"(Zhang, 2004",P15-1061,5 Related Work,"Over the years, various approaches have been proposed for relation classification (Zhang, 2004; Qian et al., 2009; Hendrickx et al., 2010; Rink and Harabagiu, 2010).",Most of them treat it as a multiclass classification problem and apply a variety of machine learning techniques to the task in order to achieve a high accuracy.,http://www.aclweb.org/anthology/P/P15/P15-1061.pdf
(2011),P15-1061,Zeng et al (2014) propose the use of word position embeddings (position features) which help the CNN by keeping track of how close words are to the target nouns.,These features are similar to the position features proposed by Collobert et al (2011) for the Semantic Role Labeling task.,In this work we also experiment with the word position embeddings (WPE) proposed by Zeng et al (2014).,http://www.aclweb.org/anthology/P/P15/P15-1061.pdf
(2014),P15-1061,"For tasks where the number of classes is large, we can fix a number of negative classes to be considered at each example and select the one with the largest score to perform a gradient step.",This approach is similar to the one used by Weston et al (2014) to select negative examples.,We use the backpropagation algorithm to compute gradients of the network.,http://www.aclweb.org/anthology/P/P15/P15-1061.pdf
(2014),P15-1061,"CR-CNN outperforms CNN+Softmax in both precision and recall, and improves the F1 by 1.6.",The third line in Table 4 shows the result reported by Zeng et al (2014) when only word embeddings and WPEs are used as input to the network (similar to our CNN+Softmax).,We believe that the word embeddings employed by them is the main reason their result is much worse than that of CNN+Softmax.,http://www.aclweb.org/anthology/P/P15/P15-1061.pdf
"(Zechner et al., 2007)",W08-0912,"Entropy in this context can be seen as a measure for how predictable the language in the expected spoken response is: Some tests, such as SET-10 (Bernstein 1999), are focused mostly on the lower entropy aspects of language, using tasks such as ""reading"" or ""repetition"", where the expected sequence of words is highly predictable.","Other assessments, such as the TOEFL Practice Online Speaking test, on the other hand, focus on more spontaneous, high-entropy responses (Zechner et al., 2007).","In this paper, we describe a spoken language test with heterogeneous task types, ranging from read speech to tasks that require candidates to give their opinions on an issue, whose goal is to assess communicative competence (Bachman, 1990; Bachman & Palmer, 1996); we call this test THT (Test with Heterogeneous Tasks).",http://www.aclweb.org/anthology/W/W08/W08-0912.pdf
"(North, 2000)",W08-0912,"In Bernstein et al (2000), an experiment is performed to investigate the performance of the SET-10 test in predicting speakers' oral proficiency.","It is shown that the SET-10 test scores can predict different levels on the Oral Interaction Scale of the Council of Europe's Framework (North, 2000) for describing oral proficiency of second/foreign language speakers with reasonable accuracy.",This paper further reports on studies done to correlate the SET-10 automated scores with the human scores from two other tests of oral English communication skills.,http://www.aclweb.org/anthology/W/W08/W08-0912.pdf
"(Zechner et al., 2007)",W08-0912,"For this work, we are using a state-of-the-art gender-independent Hidden Markov Model speech recognizer whose acoustic model was trained on about 30 hours of non-native speech and whose language model was built on several hundred hours of both native and non-native speech.","The nonnative data came from the TOEFL Practice Online system, a web-based practice program for prospective takers of the Test Of English as a Foreign Language (TOEFL) (Zechner et al., 2007).","This data is somewhat different from the THT, as there are only high-entropy tasks in TOEFL Speaking and as the speakers are generally more proficient.",http://www.aclweb.org/anthology/W/W08/W08-0912.pdf
"(Tomokiyo and Waibel, 2001",W08-0912,4.4 Unsupervised speaker adaptation,"We used unsupervised maximum likelihood linear regression (MLLR) AM adaptation on top of the previous adaptation and optimization steps (Tomokiyo and Waibel, 2001; Wang et al., 2003).","In this step, all words whose confidence score was higher than a pre-set threshold were collected and their acoustic information was used to adapt the acoustic model.",http://www.aclweb.org/anthology/W/W08/W08-0912.pdf
"(Papineni et al., 2002)",W14-4719,"Automatic MT evaluation has driven machine translation research for a decade and a half, but until recently little has been done to use lexical semantics as the main foundation for MT metrics.","Common surface-form oriented metrics like BLEU (Papineni et al., 2002), NIST (Doddington, 2002), METEOR (Banerjee and Lavie, 2005), CDER (Leusch et al., 2006), WER (Niel3en et al., 2000), and TER (Snover et al., 2006) do not explicitly reflect semantic similarity between the reference and machine translations.","Several large scale meta-evaluations (Callison-Burch et al., 2006; Koehn and Monz, 2006) have in fact reported that BLEU significantly disagrees with human judgments of translation adequacy.",http://www.aclweb.org/anthology/W/W14/W14-4719.pdf
(2012),W14-4719,3 Comparison of multiword expression association approaches,"To assess alternative lexical access preferences and constraints for computing multiword expression associations, we now consider four alternative approaches to defining the lexical similarities si,pred and si,j, all of which employ a standard context vector model of the individual words/tokens in the multiword expression arguments between the reference and machine translations, as descibed by Lo et al (2012) and Tumuluru et al (2012).",3.1 Bag of words (geometric mean),http://www.aclweb.org/anthology/W/W14/W14-4719.pdf
(2006),W14-4719,3.2 Maximum alignment (precision-recall average),"In the first maximum alignment based approach we will consider, the definitions of sz,pred and sz, are inspired by Mihalcea et al (2006) who normalize phrasal similarities according to the phrase length.","1 Si,pred = 2 1precei,pred,fi,pred + recei,pred,fi,pred 1 =2 1precei,j,fi,j + recei,j ,fi,j",http://www.aclweb.org/anthology/W/W14/W14-4719.pdf
