marker,article,context,provenance,link
"Curran, 2005",W06-1670,"Previous work on prediction at the supersense level (Ciaramita and Johnson, 2003; Curran, 2005) has focused on lexical acquisition (nouns exclusively), thus aiming at word type classification rather than tagging.","Ciaramita and Johnson (2003) call this supersense tagging and describe a multi-class perceptron tagger, which uses WORDNETs hierarchical structure to create many annotated training instances from the synset glosses.",http://www.aclweb.org/anthology/W/W06/W06-1670.pdf
"Zhou et al., 2005",D07-1076,"Among them, feature-based methods (Kambhatla 2004; Zhou et al., 2005) achieve certain success by employing a large amount of diverse linguistic features, varying from lexical knowledge, entity- related information to syntactic parse trees, dependency trees and semantic information","This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs). Evaluation shows that the incorporation of diverse features enables our system achieve best reported performance.",http://www.aclweb.org/anthology/D/D07/D07-1076.pdf
Zhou et al 2005,D07-1076,"How ever, it is difficult for them to effectively capture struc tured parse tree information (Zhou et al 2005), which is critical for further performance improvement in relation extraction.","Second, it is well known that full parsing is always prone to long-distance parsing errors although the Collins parser used in our system achieves the state-of-the-art performance. Therefore, the state-of-art full parsing still needs to be further enhanced to provide accurate enough information, especially PP (Preposition Phrase) attachment.",http://www.aclweb.org/anthology/D/D07/D07-1076.pdf
Zhou et al 2005,D07-1076,"Composite Kernel In this paper, a composite kernel via polynomial interpolation, as described Zhang et al (2006), is applied to integrate the proposed c ontextsensitive convolution tree kernel with a state -of the-art linear kernel (Zhou et al 2005)","Moreover, we only apply the simple linear kernel, although other kernels can peform better. The reason why we choose SVMs for this purpose is that SVMs represent the state-ofthe-art in the machine learning research community, and there are good implementations of the algorithm available.",http://www.aclweb.org/anthology/D/D07/D07-1076.pdf
20 05,D07-1076,"7 Here, we use the same set of flat features (i.e. word,. entity type, mention level, overlap, base phrase chunk- ing, dependency tree, parse tree and semantic information) as Zhou et al (20 05).","Kambhatla (2004) employed Maximum Entropy models for relation extraction with features derived from word, entity type, mention level, overlap, dependency tree and parse tree.",http://www.aclweb.org/anthology/D/D07/D07-1076.pdf
2005,D07-1076, dependency kernel Zhou et al (2005),Culotta et al (2004) extended this work to estimate kernel functions between augmented dependency trees and achieved 63.2 F-measure in relation detection and 45.8 F-measure in relation detection and classification on the 5 ACE relation types.,http://www.aclweb.org/anthology/D/D07/D07-1076.pdf
"Zhou et al., 2005",D09-1149,"This paper focuses on the ACE RDC subtask, where many machine learning methods have been proposed, including supervised methods (Miller et al., 2000; Zelenko et al., 2002; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005; Zhang et al., 2006; Qian et al., 2008), semi-supervised methods (Brin, 1998; Agichtein and Gravano, 2000; Zhang, 2004; Chen et al., 2006; Zhou et al., 2008), and unsupervised methods (Hasegawa et al., 2004; Zhang et al., 2005).","This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs).",http://www.aclweb.org/anthology/D/D09/D09-1149.pdf
"Zhou et al., 2005",D09-1149,"For each pair of entity mentions, we extract and compute various lexical and syntactic features, as employed in a state-of-the-art relation extraction system (Zhou et al., 2005).","For each pair of mentions3, we compute various lexical, syntactic and semantic features. This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs).",http://www.aclweb.org/anthology/D/D09/D09-1149.pdf
"Zhou et al., 2005",D09-1149,"It is well known that the number of the instances for each relation type in the ACE RDC corpora is greatly unbalanced (Zhou et al., 2005) as shown in Table 1 for the ACE RDC 2004 corpus.","ACE corpus suffers from a small amount of annotated data for a few subtypes such as the subtype Founder under the type ROLE. It also shows that the ACE RDC task defines some difficult sub- types such as the subtypes Based-In, Located and Residence under the type AT, which are difficult even for human experts to differentiate.",http://www.aclweb.org/anthology/D/D09/D09-1149.pdf
"Zhou et al., 2005",D12-1074,"This is a lightweight model and generally does not attempt to exhaustively leverage all possible proven sources of useful features (Zhou et al., 2005) towards a higher absolute score, but rather to serve as a point of comparison to the models which rely on syntactic information.","Kambhatla (2004) employed Maximum Entropy models for relation extraction with features derived from word, entity type, mention level, overlap, dependency tree and parse tree.",http://www.aclweb.org/anthology/D/D12/D12-1074.pdf
"Zelenko et al, 2003, Zhou et al, 2005",E06-2012,"Recent work has begun to address relation and event extraction through trainable means, chiefly SVM classification (Zelenko et al, 2003, Zhou et al, 2005).","This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs).",http://www.aclweb.org/anthology/E/E06/E06-2012.pdf
2005,E12-1020,"For the choice of features, we use the full set of features from Zhou et al (2005) since it is reported to have a state-of-the-art performance (Sun et al., 2011).","This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs). Evaluation shows that the incorporation of diverse features enables our system achieve best reported performance.",http://www.aclweb.org/anthology/E/E12/E12-1020.pdf
"Zhou et al., 2005",E12-1020,"We use a state-of-the-art feature space (Zhou et al., 2005) to represent examples (including all correct examples, erroneous ones and untagged examples) and use MaxEnt as the weight learning model since it shows competitive performance in relation extraction (Jiang and Zhai, 2007) and outputs probabilities associated with each prediction.","Tree kernel-based approaches proposed by Zelenko et al (2003) and Culotta et al (2004) are able to explore the implicit feature space without much feature engineering. This paper will further explore the feature-based approach with a systematic study on the extensive incorporation of diverse lexical, syntactic and semantic information.",http://www.aclweb.org/anthology/E/E12/E12-1020.pdf
2005,E12-1020,We use SVM as our learning algorithm with the full feature set from Zhou et al (2005).,"This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs).",http://www.aclweb.org/anthology/E/E12/E12-1020.pdf
"Zhou et al., 2005",N06-1037,"However it is reported (Zhou et al., 2005; Kambhatla, 2004) that hierarchical structured syntactic features contributes less to performance improvement.","Instead of exploring the full parse tree information directly as previous related work, we incorporate the base phrase chunking information performance improvement from syntactic aspect while further incorporation of the parse tree and dependence tree information only slightly improves the performance.",http://www.aclweb.org/anthology/N/N06/N06-1037.pdf
2005,N06-1037,Zhou et al (2005) explore various features in relation extraction using SVM.,"This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs).",http://www.aclweb.org/anthology/N/N06/N06-1037.pdf
2005,N06-1037,The features used in Kambhatla (2004) and Zhou et al (2005) have to be selected and carefully calibrated manually.,"Kambhatla (2004) employed Maximum Entropy models for relation extraction with features derived from word, entity type, mention level, overlap, dependency tree and parse tree. This paper will further explore the feature-based approach with a systematic study on the extensive incorporation of diverse lexical, syntactic and semantic information.",http://www.aclweb.org/anthology/N/N06/N06-1037.pdf
2005,N06-1037,"Besides, Zhou et al (2005) introduce additional chunking features to enhance the parse tree features.","Instead of exploring the full parse tree information directly as previous related work, we incorporate the base phrase chunking information performance improvement from syntactic aspect while further incorporation of the parse tree and dependence tree information only slightly improves the performance.",http://www.aclweb.org/anthology/N/N06/N06-1037.pdf
2005,N06-1037,we call the features used in Zhou et al (2005) and Kambhatla (2004) flat feature set.,"Kambhatla (2004) employed Maximum Entropy models for relation extraction with features derived from word, entity type, mention level, overlap, dependency tree and parse tree. This paper will further explore the feature-based approach with a systematic study on the extensive incorporation of diverse lexical, syntactic and semantic information.",http://www.aclweb.org/anthology/N/N06/N06-1037.pdf
"Zhou et al., 2005",N06-1037,"(Zhou et al., 2005), our experiments are carried out on explicit relations due to the poor inter-annotator agreement in annotation of implicit relations and their limited numbers.","In this paper, we only model explicit relations because of poor inter-annotator agreement in the annotation of implicit relations and their limited number.",http://www.aclweb.org/anthology/N/N06/N06-1037.pdf
"Zhou et al., 2005",N07-1015,"The first utilizes a set of carefully selected features obtained from different levels of text analysis, from part-of-speech (POS) tagging to full parsing and dependency parsing (Kambhatla, 2004; Zhao and Grishman, 2005; Zhou et al., 2005)1.","Kambhatla (2004) employed Maximum Entropy models for relation extraction with features derived from word, entity type, mention level, overlap, dependency tree and parse tree.",http://www.aclweb.org/anthology/N/N07/N07-1015.pdf
2005,N07-1015,Zhao and Grishman (2005) and Zhou et al (2005) explored a large set of features that are potentially useful for relation extraction.,"This paper will further explore the feature-based approach with a systematic study on the extensive incorporation of diverse lexical, syntactic and semantic information.",http://www.aclweb.org/anthology/N/N07/N07-1015.pdf
"Zhou et al., 2005",N07-1015,"Entity Attributes: Previous studies have shown that entity types and entity mention types of arg 1 and arg 2 are very useful (Zhao and Grishman, 2005; Zhou et al., 2005; Zhang et al., 2006b).", Entity type features are very useful and improve the F-measure by 8.1 largely due to the recall increase.,http://www.aclweb.org/anthology/N/N07/N07-1015.pdf
2005,N07-1015,Bag-of-Words: These features have also been explore by Zhao and Grishman (2005) and Zhou et. al. (2005).,"This is done by replacing the pronominal mention with the most recent non-pronominal antecedent when determining the word features, which include:  WM1: bag-of-words in M1  HM1: head word of M1 3 In ACE, each mention has a head annotation and an. extent annotation.",http://www.aclweb.org/anthology/N/N07/N07-1015.pdf
2005,N07-1015,"Dependency Relations and Dependency Paths: These features have been explored by Bunescu and Mooney (2005a), Zhao and Grishman (2005), and Zhou et. al. (2005).","This category of features includes information about the words, part-of-speeches and phrase labels of the words on which the mentions are dependent in the dependency tree derived from the syntactic full parse tree.",http://www.aclweb.org/anthology/N/N07/N07-1015.pdf
"Zhou et al., 2005",N09-3012,"Although in order to achieve the best performance, it is necessary to use a proper combination of these features (Zhou et al., 2005), in this paper, we will concentrate on how to better capture the syntactic features for relation extraction.",Evaluation shows that the incorporation of diverse features enables our system achieve best reported performance.,http://www.aclweb.org/anthology/N/N09/N09-3012.pdf
2005,N13-1093,"The former is Zhou et al (2005), which uses 51 different features.",Exploring Various Knowledge in Relation Extraction,http://www.aclweb.org/anthology/N/N13/N13-1093.pdf
2005,N13-1093,"These experiments are done using Zhou et al (2005), TPWF kernel, SL kernel, different versions of proposed KH F kernel and KH ybrid kernel.","Moreover, we only apply the simple linear kernel, although other kernels can peform better.",http://www.aclweb.org/anthology/N/N13/N13-1093.pdf
2005,N13-1093,We also performed (5-fold cross validation) experiments by combining the Stage 1 classifier with each of the Zhou et al (2005),"In this paper, we use the binary-class SVMLight2 deleveloped by Joachims (1998).",http://www.aclweb.org/anthology/N/N13/N13-1093.pdf
"Zhou et al., 2005",N13-1095,"Relation Extraction is a well-studied problem (Miller et al., 2000; Zhou et al., 2005; Kambhatla, 2004; Min et al., 2012a).",Exploring Various Knowledge in Relation Extraction,http://www.aclweb.org/anthology/N/N13/N13-1095.pdf
Zhou et al 2005,P06-1016,One major challenge in relation extraction is due to the data sparseness problem (Zhou et al 2005).,ACE corpus suffers from a small amount of annotated data for a few subtypes such as the subtype Founder under the type ROLE.,http://www.aclweb.org/anthology/P/P06/P06-1016.pdf
Zhou et al 2005,P06-1016,"While various machine learning approaches, such as generative modeling (Miller et al 2000), maximum entropy (Kambhatla 2004) and support vector machines (Zhao and Grisman 2005; Zhou et al 2005), have been applied in the relation extraction task, no explicit learning strategy is proposed to deal with the inherent data sparseness problem caused by the much uneven distribution among different relations.","In this paper, we use the binary-class SVMLight2 deleveloped by Joachims (1998). ACE corpus suffers from a small amount of annotated data for a few subtypes such as the subtype Founder under the type ROLE.",http://www.aclweb.org/anthology/P/P06/P06-1016.pdf
2005,P06-1016,"With the increasing popularity of ACE, this task is starting to attract more and more researchers within the natural language processing and machine learning communities. Typical works include Miller et al (2000), Zelenko et al (2003), Culotta and Sorensen (2004), Bunescu and Mooney (2005a), Bunescu and Mooney (2005b), Zhang et al (2005), Roth and Yih (2002), Kambhatla (2004), Zhao and Grisman (2005) and Zhou et al (2005).",This paper uses the ACE corpus provided by LDC to train and evaluate our feature-based relation extraction system.,http://www.aclweb.org/anthology/P/P06/P06-1016.pdf
,P06-1016,"Zhou et al (2005) further systematically explored diverse lexical, syntactic and semantic features through support vector machines and achieved F- measure of 68.1 and 55.5 on the 5 relation types and the 24 relation subtypes in the ACE RDC 2003 corpus respectively.","It shows that our system achieves best performance of 63.1%/49.5%/ 55.5 in precision/recall/F-measure when combining diverse lexical, syntactic and semantic features.",http://www.aclweb.org/anthology/P/P06/P06-1016.pdf
2005,P06-1016,"Same as Zhou et al (2005), we only model explicit relations and explicitly model the argument order of the two mentions involved.","In this paper, we only model explicit relations because of poor inter-annotator agreement in the annotation of implicit relations and their limited number. The semantic relation is determined between two mentions. In addition, we distinguish the argument order of the two mentions (M1 for the first mention and M2 for the second mention), e.g. M1-Parent- Of-M2 vs. M2-Parent-Of-M1.",http://www.aclweb.org/anthology/P/P06/P06-1016.pdf
"Zhou et al., 2005",P06-1017,"Many machine learning methods have been proposed to address this problem, e.g., supervised learning algorithms (Miller et al., 2000; Zelenko et al., 2002; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005), semi-supervised learning algorithms (Brin, 1998; Agichtein and Gravano, 2000; Zhang, 2004), and unsupervised learning algorithms (Hasegawa et al., 2004).","In this paper, we use the binary-class SVMLight2 deleveloped by Joachims (1998).",http://www.aclweb.org/anthology/P/P06/P06-1017.pdf
2005,P06-1017,Bootstrapping Currently most of works on the RDC task of ACE focused on supervised learning methods Culotta and Soresen (2004; Kambhatla (2004; Zhou et al (2005).,"This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs).",http://www.aclweb.org/anthology/P/P06/P06-1017.pdf
2005,P06-1017,"In the future, we would like to use more effective feature sets Zhou et al (2005)","This paper will further explore the feature-based approach with a systematic study on the extensive incorporation of diverse lexical, syntactic and semantic information.",http://www.aclweb.org/anthology/P/P06/P06-1017.pdf
"Zhou et al., 2005",P06-1104,"Many techniques on relation extraction, such as rule-based (MUC, 19871998; Miller et al., 2000), feature-based (Kambhatla 2004; Zhou et al., 2005) and kernel-based (Zelenko et al., 2003; Culotta and Sorensen, 2004; Bunescu and Mooney, 2005), have been proposed in the literature.","This paper will further explore the feature-based approach with a systematic study on the extensive incorporation of diverse lexical, syntactic and semantic information.",http://www.aclweb.org/anthology/P/P06/P06-1104.pdf
"Zhou et al., 2005",P06-1104,"Feature-based methods (Kambhatla, 2004; Zhou et al., 2005; Zhao and Grishman, 20052 ) for this task employ a large amount of diverse linguistic features, such as lexical, syntactic and semantic features.","This paper will further explore the feature-based approach with a systematic study on the extensive incorporation of diverse lexical, syntactic and semantic information.",http://www.aclweb.org/anthology/P/P06/P06-1104.pdf
"Zhou et al., 2005",P06-2012,"Many methods have been proposed to deal with this task, including supervised learning algorithms (Miller et al., 2000; Zelenko et al., 2002; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005), semi-supervised learning algorithms (Brin, 1998; Agichtein and Gravano, 2000; Zhang, 2004), and unsupervised learning algorithm (Hasegawa et al., 2004).","In this paper, we use the binary-class SVMLight2 deleveloped by Joachims (1998).",http://www.aclweb.org/anthology/P/P06/P06-2012.pdf
2005,P08-2023,"Based on his work, Zhou et al (2005) further incorporated the base phrase chunking information and semi-automatically collected country name list and personal relative trigger word list.","Our study illustrates that the base phrase chunking information contributes to most of the performance inprovement from syntactic aspect while additional full parsing information does not contribute much, largely due to the fact that most of relations defined in ACE corpus are within a very short distance. This is largely due to incorporation of two semantic resources, i.e. the country name list and the personal relative trigger word list.",http://www.aclweb.org/anthology/P/P08/P08-2023.pdf
"Zhou et al., 2005",P09-1113,"While syntactic features are known to improve the performance of supervised IE, at least using clean hand-labeled ACE data (Zhou et al., 2007; Zhou et al., 2005), we do not know whether syntactic features can improve the performance of unsupervised or distantly supervised IE.","Our study illustrates that the base phrase chunking information contributes to most of the performance inprovement from syntactic aspect while additional full parsing information does not contribute much, largely due to the fact that most of relations defined in ACE corpus are within a very short distance.",http://www.aclweb.org/anthology/P/P09/P09-1113.pdf
2005,P09-1113,"More recent approaches have used deeper syntactic information derived from parses of the input sentences, including work exploiting syntactic dependencies by Lin and Pantel (2001) and Snow et al (2005), and work in the ACE paradigm such as Zhou et al (2005) and Zhou et al (2007).","This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs).",http://www.aclweb.org/anthology/P/P09/P09-1113.pdf
2005,P09-1114,Recent work on relation extraction has been dominated by feature-based and kernel-based supervised learning methods. Zhou et al (2005) and Zhao and Grishman (2005) studied various features and feature combinations for relation extraction.,"This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs).",http://www.aclweb.org/anthology/P/P09/P09-1114.pdf
"Zhou et al., 2005",P09-1114,"Recent work on relation extraction has shown that supervised machine learning coupled with intelligent feature engineering or kernel design provides state-of-the-art solutions to the problem (Culotta and Sorensen, 2004; Zhou et al., 2005; Bunescu and Mooney, 2005; Qian et al., 2008).","This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs). Evaluation shows that the incorporation of diverse features enables our system achieve best reported performance.",http://www.aclweb.org/anthology/P/P09/P09-1114.pdf
"Zhou et al., 2005",P11-1053,"Then the feature based method explicitly extracts a variety of lexical, syntactic and semantic features for statistical learning, either generative or discriminative (Miller et al., 2000; Kambhatla, 2004; Boschee et al., 2005; Grishman et al., 2005; Zhou et al., 2005; Jiang and Zhai, 2007).","This paper will further explore the feature-based approach with a systematic study on the extensive incorporation of diverse lexical, syntactic and semantic information.",http://www.aclweb.org/anthology/P/P11/P11-1053.pdf
2005,P11-1053,"We first adopted the full feature set from Zhou et al (2005), a state-of-the-art feature based relation extraction system.","This paper will further explore the feature-based approach with a systematic study on the extensive incorporation of diverse lexical, syntactic and semantic information. The reason why we choose SVMs for this purpose is that SVMs represent the state-ofthe-art in the machine learning research community, and there are good implementations of the algorithm available.",http://www.aclweb.org/anthology/P/P11/P11-1053.pdf
2005,P11-1053,"In addition, we cherry-picked the following features which were not included in Zhou et al (2005) but were shown to be quite effective for relation extraction.",Exploring Various Knowledge in Relation Extraction,http://www.aclweb.org/anthology/P/P11/P11-1053.pdf
2005,P11-1053,Zhou et al (2005) tested their system on the ACE 2003 data;.,This paper uses the ACE corpus provided by LDC to train and evaluate our feature-based relation extraction system.,http://www.aclweb.org/anthology/P/P11/P11-1053.pdf
"Zhou et al., 2005",P11-1056,"However, most approaches to RE have assumed that the relations arguments are given as input (Chan and Roth, 2010; Jiang and Zhai, 2007; Jiang, 2009; Zhou et al., 2005), and therefore offer only a partial solution to the problem.","In addition, we distinguish the argument order of the two mentions (M1 for the first mention and M2 for the second mention), e.g. M1-Parent- Of-M2 vs. M2-Parent-Of-M1.",http://www.aclweb.org/anthology/P/P11/P11-1056.pdf
"Zhou et al., 2005",P11-1056,"Most prior RE evaluation on ACE data assumed that mentions are already pre-annotated and given as input (Chan and Roth, 2010; Jiang and Zhai, 2007; Zhou et al., 2005).","In this paper, we only measure the performance of relation extraction on true mentions with true chaining of coreference (i.e. as annotated by the corpus annotators) in the ACE corpus.",http://www.aclweb.org/anthology/P/P11/P11-1056.pdf
"Zhou et al., 2005",P11-3012,"We used Zhou et al.s lexical features (Zhou et al., 2005) as the basis for the features of our system similar to what other researchers have done (Chan and Roth, 2010).","This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs).",http://www.aclweb.org/anthology/P/P11/P11-3012.pdf
"Zhou et al., 2005",P11-3012,"Although a bit lower than Zhou et al.s result of 55.5 (Zhou et al., 2005), we attribute the difference to our use of a different tokenizer, different parser, and having not used the semantic information features.","It shows that our system achieves best performance of 63.1%/49.5%/ 55.5 in precision/recall/F-measure when combining diverse lexical, syntactic and semantic features.",http://www.aclweb.org/anthology/P/P11/P11-3012.pdf
"Zhou et al., 2005",P13-1147,"This is slightly behind that of Zhang (2006); the reason might be threefold: i) different data partitioning; ii) different pre-processing; iii) they incorporate features from additional sources, i.e. a phrase chunker, dependency parser and semantic resources (Zhou et al., 2005) (we have on average 9 features/instance, they use 40).","This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs). In this way, we model relation extraction as a multi-class classification problem with 43 classes, two for each relation subtype (except the above 6 symmetric subtypes) and a NONE class for the case where the two mentions are not related.",http://www.aclweb.org/anthology/P/P13/P13-1147.pdf
"Zhou et al., 2005",W06-1634,"Techniques based on machine learning (Zhou et al., 2005; Hao et al., 2005; Bunescu and Mooney, 2006) are expected to alleviate this problem in manually crafted IE.","In this paper, we use the binary-class SVMLight2 deleveloped by Joachims (1998).",http://www.aclweb.org/anthology/W/W06/W06-1634.pdf
"Zhou et al., 2005",W06-1634,"A technique that many previous approaches have used is shallow parsing (Koike et al., 2003; Yao et al., 2004; Zhou et al., 2005).",This suggests that most of useful information in full parse trees for relation extraction is shallow and can be captured by chunking.,http://www.aclweb.org/anthology/W/W06/W06-1634.pdf
"Zhou et al., 2005",W06-1667,"Prior work on automatic relation extraction come in three kinds: supervised learning algorithms (Miller et al., 2000; Zelenko et al., 2002; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005), semi-supervised learning algorithms (Brin, 1998; Agichtein and Gravano, 2000; Zhang, 2004), and unsupervised learning algorithm (Hasegawa et al., 2004).","In this paper, we use the binary-class SVMLight2 deleveloped by Joachims (1998).",http://www.aclweb.org/anthology/W/W06/W06-1667.pdf
"Zhou et al., 2005",W06-1667,"Especially, although we did not concern the dependency tree and full parse tree information as other supervised methods (Miller et al., 2000; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005), the incorporation of simple features, such as words and chunking information, still can provide complement information for capturing the characteristics of entity pairs.","Instead of exploring the full parse tree information directly as previous related work, we incorporate the base phrase chunking information performance improvement from syntactic aspect while further incorporation of the parse tree and dependence tree information only slightly improves the performance.",http://www.aclweb.org/anthology/W/W06/W06-1667.pdf
2005,W08-0602,This follows on from the success of these methods in general NLP (see for example Zhou et al (2005)).,The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.,http://www.aclweb.org/anthology/W/W08/W08-0602.pdf
2005,W08-0602,We use features developed in part from those described in Zhou et al (2005) and Wang et al (2006).,"This paper will further explore the feature-based approach with a systematic study on the extensive incorporation of diverse lexical, syntactic and semantic information.",http://www.aclweb.org/anthology/W/W08/W08-0602.pdf
"Zhou et al., 2005",W11-1101,"A variety of features have been explored for ERD in previous research (Zhou et al., 2005; Zhou et al., 2008; Jiang and Zhai, 2007; Miller et al., 2000).","This paper will further explore the feature-based approach with a systematic study on the extensive incorporation of diverse lexical, syntactic and semantic information.",http://www.aclweb.org/anthology/W/W11/W11-1101.pdf
"Zhou et al., 2005",W11-1101,"Researchers have used supervised and semi-supervised approaches (Hasegawa et al., 2004; Mintz et al., 2009; Jiang, 2009), and explored rich features (Kambhatla, 2004), kernel design (Culotta and Sorensen, 2004; Zhou et al., 2005; Bunescu and Mooney, 2005; Qian et al., 2008) and inference algorithms (Chan and Roth, 2011), to detect predefined relations between NEs.","Moreover, we only apply the simple linear kernel, although other kernels can peform better.",http://www.aclweb.org/anthology/W/W11/W11-1101.pdf
"Zhou et al., 2005",W11-1815,"BB task example Ureaplasma parvum is a mycoplasma and a pathogenic biology challenges (Kim et al., 2010) and geographical locations (Zhou et al., 2005).","Entities can be of five types: persons, organizations, locations, facilities and geopolitical entities (GPE: geographically defined regions that indicate a political boundary, e.g. countries, states, cities, etc. ).",http://www.aclweb.org/anthology/W/W11/W11-1815.pdf
"Dang et al, 1998",A00-2034,"Levin's classification has been extended by other NLP researchers (Dorr and Jones, 1996; Dang et al.,  1998).","We augmented the existing database of Levin semantic classes with a set of intersective classes, which were created by grouping to gether subsets of existing classes with over lapping members.",http://www.aclweb.org/anthology/A/A00/A00-2034.pdf
1998,A00-2034,Dang et al (1998) modify it by adding new classes which remove the overlap between classes from the original scheme.,"We augmented the existing database of Levin semantic classes with a set of intersective classes, which were created by grouping to gether subsets of existing classes with over lapping members.",http://www.aclweb.org/anthology/A/A00/A00-2034.pdf
"Dang eta!., 1998",E99-1007,"Manual classifica tion of large numbers of verbs is a difficult and resource intensive task (Levin, 1993; Miller et a!., 1990; Dang eta!., 1998).",Investigating regular sense extensions based on intersective Levin classes,http://www.aclweb.org/anthology/E/E99/E99-1007.pdf
1998,J01-3003,We think that many cases of ambigu ous classification of the lexical entry for a verb can be addressed with the notion of intersective sets introduced by Dang et al (1998).,"2.1 Ambiguities in Levin classes. We augmented the existing database of Levin semantic classes with a set of intersective classes, which were created by grouping to gether subsets of existing classes with over lapping members.",http://www.aclweb.org/anthology/J/J01/J01-3003.pdf
1998,J04-1003,Palmer (2000) and Dang et al (1998) argue that syntactic frames and verb classes are useful for developing principled classifications of verbs.,"However, it would be useful for the WordNet senses to have access to the detailed syntactic information that the Levin classes contain, and it would be equally useful to have more guidance as to when membership in a Levin class does in fact indicate shared seman tic components.",http://www.aclweb.org/anthology/J/J04/J04-1003.pdf
Dang et al. 1998,J04-1003,Levins (1993) seminal study on diathesis alternations and verb semantic classes has recently influenced work in dictionary creation (Dorr 1997; Dang et al 1998; Dorr and Jones 1996),Investigating regular sense extensions based on intersective Levin classes,http://www.aclweb.org/anthology/J/J04/J04-1003.pdf
Dang et al. 1998,J05-1004,"In many cases, the additional information that VerbNet provides for each class has caused it to subdivide, or use intersections of, Levins original classes, adding an additional level to the hierarchy (Dang et al 1998).","Some of the large Levin classes comprise verbs that exhibit a wide range of possible semantic components, and could be divided into smaller subclasses.",http://www.aclweb.org/anthology/J/J05/J05-1004.pdf
"Dang et al., 1998",N01-1012,"Besides the obvious influence of WordNet, this work is very much related to Palmer&apos;s VerbNet project (Dang et al., 1998), and has benefited from (Levin, 1993) and (Pritchett, 1992).",Investigating regular sense extensions based on intersective Levin classes,http://www.aclweb.org/anthology/N/N01/N01-1012.pdf
"Dang et al., 1998",N09-1057,"participants  causation, change of state, and others  are central not only in theoretical work on lexical semantics, but in computational approaches to the lexicon, as well (e.g. (Pustejovsky, 1991; Dorr, 1993; Wu and Palmer, 1994; Dang et al., 1998)).","The ad junction of the apart adverb adds a change of state semantic component with respect to the object which is not present otherwise. The carry verbs that are not in the intersective class (carry, drag, haul, heft, hoist, lug, tote, tow) are more ""pure"" examples of the carry class and always imply the achievement of causation of motion. Investigating regular sense extensions based on intersective Levin classes",http://www.aclweb.org/anthology/N/N09/N09-1057.pdf
"Dang et al., 1998",P03-1009,"Classifications which aim to capture the close relation between the syntax and semantics of verbs have attracted a considerable research interest in both linguistics and computational linguistics (e.g. (Jack- endoff, 1990; Levin, 1993; Pinker, 1989; Dang et al., 1998; Dorr, 1997; Merlo and Stevenson, 2001)).",The fundamental assumption is that the syntactic frames are a direct reflection of the un derlying semantics.,http://www.aclweb.org/anthology/P/P03/P03-1009.pdf
"Dang et al., 1998",P04-1046,"In computational linguistics, the VerbNet project (Dang et al., 1998) and Framenet (www.icsi.berkeley.edu/ framen,a) (Fillmore et al., 2003) bear relation to this work.",Investigating regular sense extensions based on intersective Levin classes,http://www.aclweb.org/anthology/P/P04/P04-1046.pdf
"Dang et al., 1998",P06-1117,"A very good candidate seems to be the Intersective Levin class (ILC) (Dang et al., 1998) that can be found as well in other predicate resources like PB and VerbNet (VN) (Kipper et al., 2000).",Investigating regular sense extensions based on intersective Levin classes,http://www.aclweb.org/anthology/P/P06/P06-1117.pdf
